Student_ID,First_Name,Last_Name,Email,Major,Title,Number_of_Skills,Salary,Salary_Range,GPA,GPA_Range,Graduated,Skills_Tokenized
281239807,David,Garcia,David.Garcia000@mymdc.net,Applied Artificial Intelligence,Computer Vision Engineer,20,105921,High,3.14,Medium,TRUE,"['Presentation Skills', 'Machine Learning Algorithms', 'Algorithm Development', 'Edge Computing', 'Critical Thinking', 'Cloud Computing', 'Adaptability', 'Problem-Solving', 'Robotics', 'Project Management', 'Programming Languages', 'Collaboration', 'Data Visualization', 'Data-Driven Decision Making', 'Data Engineering', 'Database Management', 'Data Preprocessing', 'Curiosity', 'Leadership', 'Market Analysis']"
163309674,Robert,Moreno,Robert.Moreno000@mymdc.net,Data Analytics,Data Analyst,27,30000,High,2.27,Very Low,FALSE,"['AI Frameworks and Libraries', 'Deep Learning', 'Leadership', 'Problem-Solving', 'Programming Languages', 'Curiosity', 'IoT Integration', 'Adaptability', 'Project Management', 'Model Training and Evaluation', 'API Development', 'AI Ethics and Governance', 'Attention to Detail', 'Critical Thinking', 'Natural Language Processing (NLP)', 'Data Engineering', 'Big Data Technologies', 'Programming', 'Data-Driven Decision Making', 'Market Analysis', 'Collaboration', 'Data Visualization', 'Database Management', 'Machine Learning Algorithms', 'Cloud Computing', 'Ethical Considerations', 'Creativity']"
728292772,Jesse,Davis,Jesse.Davis000@mymdc.net,Applied Artificial Intelligence,Machine Learning Engineer,35,30000,High,3.26,Medium,FALSE,"['Software Engineering Principles', 'Programming', 'DevOps', 'Natural Language Processing (NLP)', 'Collaboration', 'Project Management', 'Attention to Detail', 'Leadership', 'Presentation Skills', 'Computer Vision', 'ETL Processes', 'Cloud Computing', 'Adaptability', 'Machine Learning Algorithms', 'Data Engineering', 'Robotics', 'Curiosity', 'API Development', 'Programming Languages', 'Data Analysis', 'Deep Learning', 'Model Training and Evaluation', 'AI Frameworks and Libraries', 'Data-Driven Decision Making', 'Edge Computing', 'Business Acumen', 'Communication', 'Database Management', 'Data Visualization', 'Critical Thinking', 'IoT Integration', 'Problem-Solving', 'Algorithm Development', 'Data Preprocessing', 'Market Analysis']"
340813184,Amanda,King,Amanda.King000@mymdc.net,Applied Artificial Intelligence,Machine Learning Engineer,10,30000,High,3.15,Medium,FALSE,"['IoT Integration', 'Business Acumen', 'AI Frameworks and Libraries', 'Adaptability', 'Presentation Skills', 'Natural Language Processing (NLP)', 'Cloud Computing', 'Project Management', 'Creativity', 'Programming']"
610899964,Phillip,Williams,Phillip.Williams000@mymdc.net,Applied Artificial Intelligence,AI Data Scientist,7,30000,High,3.7,High,FALSE,"['Problem-Solving', 'Market Analysis', 'Software Engineering Principles', 'Data Visualization', 'Critical Thinking', 'Robotics', 'DevOps']"
851568296,Donna,Cantu,Donna.Cantu000@mymdc.net,Applied Artificial Intelligence,AI Engineer,26,30000,High,2.18,Very Low,FALSE,"['Business Acumen', 'Ethical Considerations', 'Data Engineering', 'Big Data Technologies', 'Collaboration', 'Attention to Detail', 'Data Preprocessing', 'Critical Thinking', 'API Development', 'DevOps', 'Programming', 'Adaptability', 'Data Visualization', 'AI Frameworks and Libraries', 'Presentation Skills', 'Deep Learning', 'Curiosity', 'Algorithm Development', 'Creativity', 'IoT Integration', 'Data Analysis', 'Cloud Computing', 'Data-Driven Decision Making', 'Communication', 'Robotics', 'Leadership']"
191974018,Keith,Patterson,Keith.Patterson000@mymdc.net,Applied Artificial Intelligence,Robotics Engineer,28,30000,High,3.14,Medium,FALSE,"['Creativity', 'Natural Language Processing (NLP)', 'Programming', 'Database Management', 'Adaptability', 'Cloud Computing', 'Market Analysis', 'Critical Thinking', 'Big Data Technologies', 'DevOps', 'Communication', 'Project Management', 'Data-Driven Decision Making', 'Presentation Skills', 'Machine Learning Algorithms', 'Data Preprocessing', 'AI Ethics and Governance', 'Model Training and Evaluation', 'Problem-Solving', 'Deep Learning', 'Robotics', 'Curiosity', 'Computer Vision', 'Ethical Considerations', 'Algorithm Development', 'AI Frameworks and Libraries', 'Leadership', 'IoT Integration']"
949228777,James,Stokes,James.Stokes000@mymdc.net,Applied Artificial Intelligence,Computer Vision Engineer,1,30000,High,2.66,Low,FALSE,['Business Acumen']
218175719,Hayden,Holt,Hayden.Holt000@mymdc.net,Applied Artificial Intelligence,AI Data Scientist,7,30000,High,2.56,Low,FALSE,"['Curiosity', 'Business Acumen', 'API Development', 'Machine Learning Algorithms', 'Ethical Considerations', 'Collaboration', 'Project Management']"
196603982,Heather,Parks,Heather.Parks000@mymdc.net,Data Analytics,Data Scientist,38,30000,High,2.01,Very Low,FALSE,"['Programming Languages', 'Market Analysis', 'Data-Driven Decision Making', 'Algorithm Development', 'API Development', 'DevOps', 'Creativity', 'Problem-Solving', 'Model Training and Evaluation', 'Collaboration', 'Data Analysis', 'Leadership', 'Communication', 'Data Preprocessing', 'Machine Learning Algorithms', 'Deep Learning', 'Curiosity', 'Natural Language Processing (NLP)', 'Programming', 'Project Management', 'Business Acumen', 'Data Visualization', 'Presentation Skills', 'Computer Vision', 'Database Management', 'Cloud Computing', 'Adaptability', 'Software Engineering Principles', 'Edge Computing', 'Big Data Technologies', 'Critical Thinking', 'AI Frameworks and Libraries', 'Robotics', 'IoT Integration', 'Data Engineering', 'Ethical Considerations', 'ETL Processes', 'AI Ethics and Governance']"
772469360,John,Thornton,John.Thornton000@mymdc.net,Applied Artificial Intelligence,Computer Vision Engineer,23,30000,High,2.03,Very Low,FALSE,"['Cloud Computing', 'Leadership', 'Collaboration', 'Critical Thinking', 'Data Engineering', 'Data Analysis', 'Adaptability', 'AI Ethics and Governance', 'Big Data Technologies', 'Software Engineering Principles', 'DevOps', 'Computer Vision', 'Presentation Skills', 'AI Frameworks and Libraries', 'Data Visualization', 'Creativity', 'API Development', 'Project Management', 'Market Analysis', 'Programming Languages', 'Curiosity', 'Communication', 'Machine Learning Algorithms']"
368375367,Tommy,Cochran,Tommy.Cochran000@mymdc.net,Data Analytics,Operations Analyst,4,65057,Medium,3.19,Medium,TRUE,"['Natural Language Processing (NLP)', 'Programming', 'Data Engineering', 'Computer Vision']"
715296722,William,Franklin,William.Franklin000@mymdc.net,Data Analytics,Data Scientist,17,72985,Medium,2.2,Very Low,TRUE,"['AI Ethics and Governance', 'DevOps', 'Critical Thinking', 'Project Management', 'Attention to Detail', 'Deep Learning', 'Robotics', 'Business Acumen', 'Big Data Technologies', 'ETL Processes', 'Machine Learning Algorithms', 'Collaboration', 'Data Analysis', 'Data Preprocessing', 'Edge Computing', 'Model Training and Evaluation', 'Cloud Computing']"
324234559,John,Pruitt,John.Pruitt000@mymdc.net,Data Analytics,Data Analyst,26,30000,High,2.66,Low,FALSE,"['Programming Languages', 'Data Analysis', 'AI Frameworks and Libraries', 'Computer Vision', 'Ethical Considerations', 'Software Engineering Principles', 'Problem-Solving', 'Algorithm Development', 'Cloud Computing', 'Big Data Technologies', 'Communication', 'Curiosity', 'Market Analysis', 'Critical Thinking', 'IoT Integration', 'Data Visualization', 'Business Acumen', 'Database Management', 'Data-Driven Decision Making', 'DevOps', 'ETL Processes', 'Model Training and Evaluation', 'Machine Learning Algorithms', 'Leadership', 'Programming', 'Data Engineering']"
284164156,Melanie,Williams,Melanie.Williams000@mymdc.net,Data Analytics,Business Intelligence Analyst,11,30000,High,3.1,Medium,FALSE,"['Robotics', 'AI Ethics and Governance', 'Leadership', 'IoT Integration', 'Data Visualization', 'Data Preprocessing', 'Programming Languages', 'Computer Vision', 'Business Acumen', 'Problem-Solving', 'Ethical Considerations']"
249261701,Melissa,Walker,Melissa.Walker000@mymdc.net,Applied Artificial Intelligence,Robotics Engineer,5,96118,High,2.45,Very Low,TRUE,"['Model Training and Evaluation', 'AI Frameworks and Libraries', 'Data Analysis', 'Project Management', 'ETL Processes']"
914543261,Michael,Haynes,Michael.Haynes000@mymdc.net,Data Analytics,Data Analyst,34,82397,High,3.17,Medium,TRUE,"['Robotics', 'Edge Computing', 'Business Acumen', 'Algorithm Development', 'Big Data Technologies', 'IoT Integration', 'Data Analysis', 'Communication', 'Machine Learning Algorithms', 'DevOps', 'AI Ethics and Governance', 'Software Engineering Principles', 'Computer Vision', 'Critical Thinking', 'Programming', 'Data Preprocessing', 'Data Visualization', 'Data Engineering', 'ETL Processes', 'Natural Language Processing (NLP)', 'Model Training and Evaluation', 'Presentation Skills', 'Deep Learning', 'Problem-Solving', 'AI Frameworks and Libraries', 'Database Management', 'API Development', 'Market Analysis', 'Creativity', 'Curiosity', 'Collaboration', 'Attention to Detail', 'Data-Driven Decision Making', 'Cloud Computing']"
463988610,Karla,Watkins,Karla.Watkins000@mymdc.net,Data Analytics,Operations Analyst,17,30000,High,2.21,Very Low,FALSE,"['Leadership', 'Market Analysis', 'API Development', 'Algorithm Development', 'Attention to Detail', 'Critical Thinking', 'Project Management', 'Machine Learning Algorithms', 'Data Visualization', 'Data Analysis', 'Data Engineering', 'Programming Languages', 'Database Management', 'Data Preprocessing', 'DevOps', 'Deep Learning', 'Data-Driven Decision Making']"
602438251,Robert,Poole,Robert.Poole000@mymdc.net,Applied Artificial Intelligence,Computer Vision Engineer,19,30000,High,3.14,Medium,FALSE,"['Leadership', 'API Development', 'ETL Processes', 'Business Acumen', 'Adaptability', 'Critical Thinking', 'Database Management', 'Programming Languages', 'Collaboration', 'Market Analysis', 'Presentation Skills', 'Computer Vision', 'Data Preprocessing', 'Edge Computing', 'Algorithm Development', 'Model Training and Evaluation', 'Big Data Technologies', 'Software Engineering Principles', 'IoT Integration']"
851656260,Jennifer,Gonzalez,Jennifer.Gonzalez000@mymdc.net,Data Analytics,Business Intelligence Analyst,13,78449,Medium,3.06,Medium,TRUE,"['Machine Learning Algorithms', 'Creativity', 'Algorithm Development', 'Problem-Solving', 'Leadership', 'Database Management', 'Natural Language Processing (NLP)', 'Collaboration', 'IoT Integration', 'Data Visualization', 'Data-Driven Decision Making', 'Programming', 'AI Ethics and Governance']"
333665060,Kristina,Davis,Kristina.Davis000@mymdc.net,Applied Artificial Intelligence,AI Engineer,11,30000,High,3.25,Medium,FALSE,"['Data Preprocessing', 'Cloud Computing', 'AI Ethics and Governance', 'Problem-Solving', 'Model Training and Evaluation', 'Presentation Skills', 'Data Engineering', 'Curiosity', 'Communication', 'Algorithm Development', 'Deep Learning']"
116305219,Lisa,Jackson,Lisa.Jackson000@mymdc.net,Applied Artificial Intelligence,Computer Vision Engineer,12,30000,High,2.26,Very Low,FALSE,"['AI Frameworks and Libraries', 'Problem-Solving', 'Machine Learning Algorithms', 'AI Ethics and Governance', 'Curiosity', 'Project Management', 'Ethical Considerations', 'IoT Integration', 'Cloud Computing', 'Data Visualization', 'Communication', 'Edge Computing']"
255417587,Steven,Cruz,Steven.Cruz000@mymdc.net,Applied Artificial Intelligence,AI Engineer,5,30000,High,3.16,Medium,FALSE,"['IoT Integration', 'DevOps', 'Computer Vision', 'Leadership', 'Big Data Technologies']"
271127023,Seth,Lane,Seth.Lane000@mymdc.net,Applied Artificial Intelligence,Machine Learning Engineer,11,83592,High,3.33,Medium,TRUE,"['Big Data Technologies', 'Programming', 'Curiosity', 'DevOps', 'Computer Vision', 'Problem-Solving', 'Creativity', 'Natural Language Processing (NLP)', 'Data Preprocessing', 'Market Analysis', 'Ethical Considerations']"
388494465,Raymond,Campbell,Raymond.Campbell000@mymdc.net,Applied Artificial Intelligence,Robotics Engineer,25,30000,High,2.71,Low,FALSE,"['Leadership', 'Data-Driven Decision Making', 'ETL Processes', 'Adaptability', 'Deep Learning', 'Computer Vision', 'Problem-Solving', 'Cloud Computing', 'Presentation Skills', 'Critical Thinking', 'Curiosity', 'Project Management', 'Database Management', 'AI Ethics and Governance', 'Machine Learning Algorithms', 'Model Training and Evaluation', 'Data Analysis', 'Data Visualization', 'Communication', 'API Development', 'Attention to Detail', 'Data Engineering', 'Natural Language Processing (NLP)', 'Edge Computing', 'Algorithm Development']"
343217939,Stacey,Jordan,Stacey.Jordan000@mymdc.net,Applied Artificial Intelligence,Robotics Engineer,18,106518,High,3.69,High,TRUE,"['Big Data Technologies', 'Communication', 'Ethical Considerations', 'Data Visualization', 'Edge Computing', 'DevOps', 'AI Ethics and Governance', 'Deep Learning', 'Database Management', 'IoT Integration', 'Collaboration', 'Computer Vision', 'Data-Driven Decision Making', 'Data Analysis', 'Model Training and Evaluation', 'Robotics', 'Algorithm Development', 'Critical Thinking']"
145182458,George,Ayers,George.Ayers000@mymdc.net,Data Analytics,Marketing Analyst,30,30000,High,3.16,Medium,FALSE,"['Adaptability', 'Critical Thinking', 'Curiosity', 'Programming', 'Programming Languages', 'Problem-Solving', 'Data Preprocessing', 'Data Analysis', 'Edge Computing', 'Leadership', 'Deep Learning', 'Data Visualization', 'AI Ethics and Governance', 'Database Management', 'Business Acumen', 'Attention to Detail', 'Computer Vision', 'Machine Learning Algorithms', 'Project Management', 'Data-Driven Decision Making', 'Ethical Considerations', 'Creativity', 'Market Analysis', 'IoT Integration', 'Algorithm Development', 'DevOps', 'ETL Processes', 'Natural Language Processing (NLP)', 'API Development', 'Communication']"
764912097,Nina,Miller,Nina.Miller000@mymdc.net,Data Analytics,Marketing Analyst,26,30000,High,2.98,Low,FALSE,"['Software Engineering Principles', 'AI Frameworks and Libraries', 'Adaptability', 'Problem-Solving', 'AI Ethics and Governance', 'Creativity', 'Project Management', 'Critical Thinking', 'Business Acumen', 'IoT Integration', 'Attention to Detail', 'Data Preprocessing', 'Edge Computing', 'Ethical Considerations', 'Data-Driven Decision Making', 'Data Engineering', 'Data Analysis', 'Model Training and Evaluation', 'Computer Vision', 'Database Management', 'Data Visualization', 'Deep Learning', 'Market Analysis', 'Leadership', 'Big Data Technologies', 'Communication']"
725137164,Shelly,Thompson,Shelly.Thompson000@mymdc.net,Data Analytics,Marketing Analyst,36,30000,High,3.85,High,FALSE,"['Problem-Solving', 'Business Acumen', 'Creativity', 'Data Visualization', 'ETL Processes', 'Adaptability', 'Machine Learning Algorithms', 'Data-Driven Decision Making', 'Data Engineering', 'Programming Languages', 'Computer Vision', 'Natural Language Processing (NLP)', 'Database Management', 'Critical Thinking', 'AI Frameworks and Libraries', 'Cloud Computing', 'Robotics', 'Communication', 'Attention to Detail', 'AI Ethics and Governance', 'Ethical Considerations', 'IoT Integration', 'Programming', 'Market Analysis', 'Data Analysis', 'Data Preprocessing', 'Project Management', 'Big Data Technologies', 'Software Engineering Principles', 'Algorithm Development', 'Curiosity', 'Collaboration', 'Model Training and Evaluation', 'Deep Learning', 'API Development', 'Presentation Skills']"
394921359,Robert,Williamson,Robert.Williamson000@mymdc.net,Applied Artificial Intelligence,Robotics Engineer,3,100794,High,3.16,Medium,TRUE,"['Collaboration', 'Data Analysis', 'Data Engineering']"
308891787,Alexandra,Hensley,Alexandra.Hensley000@mymdc.net,Data Analytics,Operations Analyst,3,30000,High,2.13,Very Low,FALSE,"['AI Ethics and Governance', 'Data-Driven Decision Making', 'Machine Learning Algorithms']"
916652613,Alexis,Gould,Alexis.Gould000@mymdc.net,Data Analytics,Data Analyst,13,30000,High,2.6,Low,FALSE,"['Machine Learning Algorithms', 'ETL Processes', 'Cloud Computing', 'Collaboration', 'AI Ethics and Governance', 'Deep Learning', 'Attention to Detail', 'Critical Thinking', 'Edge Computing', 'Robotics', 'Creativity', 'IoT Integration', 'Ethical Considerations']"
804625093,Jose,Meyer,Jose.Meyer000@mymdc.net,Applied Artificial Intelligence,AI Engineer,38,81489,High,2.76,Low,TRUE,"['Computer Vision', 'Database Management', 'Data Engineering', 'Attention to Detail', 'AI Ethics and Governance', 'Programming', 'Edge Computing', 'Data-Driven Decision Making', 'Robotics', 'Curiosity', 'Natural Language Processing (NLP)', 'IoT Integration', 'Cloud Computing', 'Communication', 'Data Analysis', 'Creativity', 'Programming Languages', 'Adaptability', 'API Development', 'Machine Learning Algorithms', 'Presentation Skills', 'Leadership', 'Business Acumen', 'Model Training and Evaluation', 'Market Analysis', 'Project Management', 'Critical Thinking', 'Ethical Considerations', 'AI Frameworks and Libraries', 'Problem-Solving', 'Software Engineering Principles', 'Big Data Technologies', 'ETL Processes', 'DevOps', 'Data Visualization', 'Algorithm Development', 'Collaboration', 'Data Preprocessing']"
242916272,Eugene,Smith,Eugene.Smith000@mymdc.net,Applied Artificial Intelligence,Machine Learning Engineer,2,30000,High,2.51,Low,FALSE,"['Data Preprocessing', 'Natural Language Processing (NLP)']"
472774484,Christopher,Mckenzie,Christopher.Mckenzie000@mymdc.net,Applied Artificial Intelligence,Robotics Engineer,27,30000,High,2.87,Low,FALSE,"['Software Engineering Principles', 'AI Ethics and Governance', 'Creativity', 'Programming', 'Adaptability', 'Collaboration', 'DevOps', 'Deep Learning', 'Business Acumen', 'Problem-Solving', 'Curiosity', 'Data Analysis', 'Presentation Skills', 'Model Training and Evaluation', 'Ethical Considerations', 'Database Management', 'Edge Computing', 'Cloud Computing', 'Machine Learning Algorithms', 'AI Frameworks and Libraries', 'Programming Languages', 'Algorithm Development', 'Data Visualization', 'Robotics', 'ETL Processes', 'Natural Language Processing (NLP)', 'API Development']"
636497706,Melissa,Acevedo,Melissa.Acevedo000@mymdc.net,Applied Artificial Intelligence,Robotics Engineer,26,30000,High,3.08,Medium,FALSE,"['AI Frameworks and Libraries', 'Machine Learning Algorithms', 'AI Ethics and Governance', 'Computer Vision', 'Database Management', 'Big Data Technologies', 'Data Visualization', 'Leadership', 'Programming', 'Edge Computing', 'Deep Learning', 'Critical Thinking', 'Model Training and Evaluation', 'Market Analysis', 'DevOps', 'Attention to Detail', 'ETL Processes', 'Curiosity', 'Creativity', 'Business Acumen', 'Software Engineering Principles', 'Collaboration', 'API Development', 'Data Analysis', 'Communication', 'Ethical Considerations']"
429856826,Lindsey,Hensley,Lindsey.Hensley000@mymdc.net,Applied Artificial Intelligence,Robotics Engineer,10,30000,High,3.5,Medium,FALSE,"['Problem-Solving', 'Leadership', 'IoT Integration', 'Presentation Skills', 'Deep Learning', 'ETL Processes', 'Critical Thinking', 'Machine Learning Algorithms', 'Model Training and Evaluation', 'Data Preprocessing']"
977537992,Adam,Evans,Adam.Evans000@mymdc.net,Applied Artificial Intelligence,Computer Vision Engineer,10,30000,High,2.93,Low,FALSE,"['Cloud Computing', 'Project Management', 'Programming Languages', 'Presentation Skills', 'IoT Integration', 'ETL Processes', 'DevOps', 'Collaboration', 'Ethical Considerations', 'Adaptability']"
241929186,Jamie,Smith,Jamie.Smith000@mymdc.net,Data Analytics,Operations Analyst,34,76405,Medium,3.21,Medium,TRUE,"['Programming Languages', 'Adaptability', 'Project Management', 'Natural Language Processing (NLP)', 'Attention to Detail', 'Data Engineering', 'IoT Integration', 'Deep Learning', 'Creativity', 'Leadership', 'Computer Vision', 'Database Management', 'ETL Processes', 'Algorithm Development', 'Model Training and Evaluation', 'Data Preprocessing', 'Critical Thinking', 'Collaboration', 'Edge Computing', 'Data-Driven Decision Making', 'API Development', 'Ethical Considerations', 'Curiosity', 'Data Analysis', 'Presentation Skills', 'Problem-Solving', 'AI Ethics and Governance', 'Programming', 'Machine Learning Algorithms', 'Market Analysis', 'Communication', 'Cloud Computing', 'Robotics', 'DevOps']"
107961088,David,Murray,David.Murray000@mymdc.net,Applied Artificial Intelligence,AI Engineer,24,30000,High,2.88,Low,FALSE,"['Machine Learning Algorithms', 'Communication', 'Cloud Computing', 'AI Frameworks and Libraries', 'Edge Computing', 'Data-Driven Decision Making', 'IoT Integration', 'Creativity', 'Robotics', 'Data Analysis', 'Database Management', 'Data Visualization', 'Computer Vision', 'Business Acumen', 'Presentation Skills', 'Programming', 'Ethical Considerations', 'ETL Processes', 'Model Training and Evaluation', 'Problem-Solving', 'Project Management', 'Deep Learning', 'Programming Languages', 'Natural Language Processing (NLP)']"
